epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,101.108,0.80903,0.50562,1.06014,0.93314,0.94286,0.95591,0.66347,1.2897,0.8183,1.44945,0.000622615,0.000622615,0.000622615
59,102.865,0.82605,0.51609,1.11174,0.89959,0.94505,0.94821,0.65257,1.23989,0.85284,1.423,0.000608468,0.000608468,0.000608468
60,104.57,0.79974,0.481,1.07085,0.97442,0.89932,0.95948,0.6736,1.22793,0.77536,1.41646,0.000594321,0.000594321,0.000594321
61,106.28,0.78211,0.48975,1.05537,0.97725,0.90163,0.96012,0.6848,1.23992,0.77626,1.43221,0.000580174,0.000580174,0.000580174
62,108.028,0.80317,0.48061,1.08653,0.96545,0.90938,0.95733,0.67489,1.25595,0.74449,1.43869,0.000566027,0.000566027,0.000566027
63,109.727,0.78297,0.48337,1.04913,0.92391,0.902,0.95118,0.67119,1.28625,0.71792,1.45618,0.00055188,0.00055188,0.00055188
64,111.419,0.78644,0.49015,1.06638,0.97073,0.90792,0.95934,0.68294,1.29691,0.6881,1.46618,0.000537733,0.000537733,0.000537733
65,113.111,0.79902,0.48069,1.05907,0.96962,0.91085,0.9623,0.67792,1.28762,0.65047,1.46372,0.000523586,0.000523586,0.000523586
66,114.809,0.77419,0.48291,1.07085,0.94577,0.91956,0.95508,0.6747,1.28535,0.62354,1.47173,0.000509438,0.000509438,0.000509438
67,116.542,0.75434,0.46218,1.05872,0.97235,0.93016,0.96599,0.68033,1.29738,0.64377,1.49452,0.000495291,0.000495291,0.000495291
68,118.269,0.75542,0.46824,1.04607,0.96067,0.92215,0.96387,0.66526,1.31629,0.64274,1.51965,0.000481144,0.000481144,0.000481144
69,119.987,0.7294,0.46467,1.03011,0.96001,0.92351,0.96835,0.66152,1.32166,0.66173,1.52079,0.000466997,0.000466997,0.000466997
70,121.697,0.73447,0.44467,1.03694,0.9577,0.8956,0.96157,0.67961,1.33358,0.63717,1.54453,0.00045285,0.00045285,0.00045285
71,123.431,0.71483,0.45988,1.02376,0.97334,0.87869,0.97144,0.68463,1.30374,0.60434,1.50308,0.000438703,0.000438703,0.000438703
72,125.17,0.76245,0.45288,1.03803,0.95329,0.88423,0.97156,0.68723,1.28025,0.61357,1.47483,0.000424556,0.000424556,0.000424556
73,126.923,0.69518,0.42558,0.98818,0.95351,0.8809,0.96774,0.67963,1.29467,0.64299,1.48686,0.000410409,0.000410409,0.000410409
74,128.64,0.7437,0.45728,1.0199,0.9325,0.91684,0.96218,0.67128,1.30266,0.67987,1.50291,0.000396262,0.000396262,0.000396262
75,130.383,0.68637,0.44111,0.9945,0.93026,0.90407,0.96127,0.66042,1.31259,0.69763,1.50592,0.000382115,0.000382115,0.000382115
76,132.099,0.71335,0.44328,1.02813,0.92825,0.90151,0.96503,0.6486,1.34095,0.66944,1.53707,0.000367967,0.000367967,0.000367967
77,133.802,0.66295,0.40733,1.01097,0.92878,0.89874,0.96112,0.6421,1.35254,0.66821,1.55841,0.00035382,0.00035382,0.00035382
78,135.505,0.67316,0.42459,1.00453,0.94994,0.89841,0.96759,0.6363,1.34663,0.66745,1.5652,0.000339673,0.000339673,0.000339673
79,137.226,0.66704,0.41023,1.00948,0.91461,0.94951,0.96775,0.65254,1.3189,0.66664,1.5323,0.000325526,0.000325526,0.000325526
80,138.93,0.63884,0.39712,0.98828,0.94791,0.92847,0.96998,0.65964,1.31084,0.67729,1.50996,0.000311379,0.000311379,0.000311379
81,140.643,0.66493,0.4099,0.99835,0.94901,0.92657,0.97349,0.66579,1.30357,0.66375,1.50274,0.000297232,0.000297232,0.000297232
82,142.371,0.64119,0.4066,0.98245,0.95409,0.92581,0.97765,0.66426,1.28652,0.64347,1.49893,0.000283085,0.000283085,0.000283085
83,144.117,0.62294,0.38839,0.98719,0.97177,0.92258,0.9779,0.66409,1.27932,0.63251,1.49643,0.000268938,0.000268938,0.000268938
84,145.85,0.67947,0.43365,1.0187,0.97184,0.92625,0.97489,0.67392,1.27267,0.66728,1.49159,0.000254791,0.000254791,0.000254791
85,147.539,0.64934,0.40739,0.9961,0.96298,0.92063,0.97214,0.67488,1.27201,0.67276,1.49401,0.000240644,0.000240644,0.000240644
86,149.251,0.61328,0.39174,0.97201,0.9529,0.92272,0.97078,0.66431,1.2759,0.66728,1.49813,0.000226497,0.000226497,0.000226497
87,150.956,0.62012,0.40088,0.99277,0.94852,0.92063,0.96974,0.6658,1.28794,0.65296,1.51221,0.000212349,0.000212349,0.000212349
88,152.655,0.5758,0.36666,0.94419,0.94965,0.92063,0.97138,0.6703,1.29753,0.67285,1.52294,0.000198202,0.000198202,0.000198202
89,154.364,0.59268,0.37065,0.95626,0.95289,0.92063,0.97374,0.66921,1.29601,0.66091,1.52451,0.000184055,0.000184055,0.000184055
90,156.083,0.5987,0.36716,0.97258,0.95867,0.91893,0.96744,0.66157,1.27209,0.65453,1.49958,0.000169908,0.000169908,0.000169908
91,158.143,0.63641,0.43067,0.96547,0.95935,0.91143,0.95923,0.67477,1.26669,0.67036,1.49958,0.000155761,0.000155761,0.000155761
92,159.861,0.59115,0.35652,0.95022,0.96036,0.91291,0.95582,0.67716,1.2763,0.69328,1.50486,0.000141614,0.000141614,0.000141614
93,161.545,0.54848,0.35067,0.9335,0.95867,0.90511,0.95559,0.6745,1.27304,0.69456,1.4985,0.000127467,0.000127467,0.000127467
94,163.248,0.59025,0.35158,0.95737,0.95803,0.91111,0.95697,0.67513,1.2712,0.68261,1.49471,0.00011332,0.00011332,0.00011332
95,164.958,0.55765,0.34285,0.92346,0.95207,0.92063,0.96342,0.67104,1.25681,0.63956,1.48512,9.91726e-05,9.91726e-05,9.91726e-05
96,166.658,0.52877,0.33256,0.93301,0.95125,0.92063,0.96317,0.66701,1.26978,0.62713,1.51253,8.50255e-05,8.50255e-05,8.50255e-05
97,168.367,0.55607,0.33113,0.90911,0.9489,0.92063,0.96434,0.6748,1.25132,0.63038,1.49756,7.08784e-05,7.08784e-05,7.08784e-05
98,170.081,0.488,0.31742,0.89498,0.94858,0.92097,0.96643,0.67791,1.24413,0.62348,1.49999,5.67313e-05,5.67313e-05,5.67313e-05
99,171.776,0.55806,0.35408,0.92201,0.94832,0.92153,0.96652,0.67774,1.23995,0.61807,1.49863,4.25842e-05,4.25842e-05,4.25842e-05
100,173.469,0.54551,0.34647,0.94951,0.9493,0.91932,0.96652,0.6774,1.23992,0.62257,1.50039,2.84371e-05,2.84371e-05,2.84371e-05
